No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
201,Katrin Wagner-Augustin,Germany,Canoeing,2000-2012,Summer,F,4.0,1.0,1.0,6.0
201,Gunde Svan,Sweden,Cross-country skiing,1984-1988,Winter,M,4.0,1.0,1.0,6.0
201,Charles Hamelin,Canada,Short track speed skating,2006-2022,Winter,M,4.0,1.0,1.0,6.0
201,Wang Meng,China,Short track speed skating,2006-2010,Winter,F,4.0,1.0,1.0,6.0
201,Darya Domracheva,Belarus,Biathlon,2010-2018,Winter,F,4.0,1.0,1.0,6.0
201,Therese Johaug,Norway,Cross-country skiing,2010-2022,Winter,F,4.0,1.0,1.0,6.0
201,Ryan Murphy,United States,Swimming,2016-2020,Summer,M,4.0,1.0,1.0,6.0
214,Győző Kulcsár,Hungary,Fencing,1964-1976,Summer,M,4.0,0.0,2.0,6.0
215,Andrea Pollack,East Germany,Swimming,1976-1980,Summer,F,3.0,3.0,0.0,6.0
215,Rebecca Soni,United States,Swimming,1920-1928,Summer,F,3.0,3.0,0.0,6.0
215,Anastasiya Kuzmina,Slovakia,Biathlon,2010-2018,Winter,F,3.0,3.0,0.0,6.0
218,Knut Holmann,Norway,Canoeing,1992-2000,Summer,M,3.0,2.0,1.0,6.0
218,Andrew Hoy,Australia,Equestrian,1992-2020,Summer,M,3.0,2.0,1.0,6.0
218,Vladimir Nazlymov,Soviet Union,Fencing,1968-1980,Summer,M,3.0,2.0,1.0,6.0
218,Daniela Silivaș,Romania,Gymnastics,1988,Summer,F,3.0,2.0,1.0,6.0
218,Li Ning,China,Gymnastics,1984,Summer,M,3.0,2.0,1.0,6.0
218,Hermann Weingärtner,Germany,Gymnastics,1896,Summer,M,3.0,2.0,1.0,6.0
218,George Eyser,United States,Gymnastics,1904,Summer,M,3.0,2.0,1.0,6.0
218,Michael Groß,West Germany,Swimming,1984-1988,Summer,M,3.0,2.0,1.0,6.0
218,Renate Stecher,East Germany,Athletics,1972-1976,Summer,F,3.0,2.0,1.0,6.0
218,Ralph Rose,United States,Athletics,1904-1912,Summer,M,3.0,2.0,1.0,6.0
218,Halvard Hanevold,Norway,Biathlon,1998-2010,Winter,M,3.0,2.0,1.0,6.0
218,Natasa Dusev-Janics,Hungary,Canoeing,2004-2012,Summer,F,3.0,2.0,1.0,6.0
218,Vegard Ulvang,Norway,Cross-country skiing,1988-1994,Winter,M,3.0,2.0,1.0,6.0
218,Yuliya Chepalova,Russia,Cross-country skiing,1998-2006,Winter,F,3.0,2.0,1.0,6.0
218,Sun Yang,China,Swimming,2012-2016,Summer,M,3.0,2.0,1.0,6.0
218,Tarjei Bø,Norway,Biathlon,2010-2022,Winter,M,3.0,2.0,1.0,6.0
218,Aly Raisman,United States,Gymnastics,2012-2016,Summer,F,3.0,2.0,1.0,6.0
235,Konrad Frey,Germany,Gymnastics,1936,Summer,M,3.0,1.0,2.0,6.0
235,Alfred Schwarzmann,Germany  Germany,Gymnastics,1936-1952,Summer,M,3.0,1.0,2.0,6.0
235,Leon Štukelj,Yugoslavia,Gymnastics,1924-1936,Summer,M,3.0,1.0,2.0,6.0
235,Oscar Swahn,Sweden,Shooting,1908-1920,Summer,M,3.0,1.0,2.0,6.0
235,Kim Rhode,United States,Shooting,1996-2016,Summer,F,3.0,1.0,2.0,6.0
235,Jackie Joyner-Kersee,United States,Athletics,1984-1996,Summer,F,3.0,1.0,2.0,6.0
235,Johan Grøttumsbråten,Norway,Cross-country skiing Nordic combined,1924-1932,Winter,M,3.0,1.0,2.0,6.0
235,Brendan Hansen,United States,Swimming,2004-2012,Summer,M,3.0,1.0,2.0,6.0
235,Charlotte Dujardin,Great Britain,Equestrian,2012-2020,Summer,F,3.0,1.0,2.0,6.0
235,Suzanne Schulting,Netherlands,Short track speed skating,2018-2022,Winter,F,3.0,1.0,2.0,6.0
245,Rüdiger Helm,East Germany,Canoeing,1976-1980,Summer,M,3.0,0.0,3.0,6.0
245,Angel Martino,United States,Swimming,1992-1996,Summer,F,3.0,0.0,3.0,6.0
245,Tirunesh Dibaba,Ethiopia,Athletics,2004-2016,Summer,F,3.0,0.0,3.0,6.0
245,Max Whitlock,Great Britain,Gymnastics,2012-2020,Summer,M,3.0,0.0,3.0,6.0
249,Michael Plumb,United States,Equestrian,1964-1984,Summer,M,2.0,4.0,0.0,6.0
250,Rita Kőbán,Hungary,Canoeing,1988-2000,Summer,F,2.0,3.0,1.0,6.0
250,Burton Downing,United States,Cycling,1904,Summer,M,2.0,3.0,1.0,6.0
250,Georges Buchard,France,Fencing,1924-1936,Summer,M,2.0,3.0,1.0,6.0
250,Tamara Manina,Soviet Union,Gymnastics,1956-1964,Summer,F,2.0,3.0,1.0,6.0
